1163	yellow_1018o_001	4971784.4223	5198110.1344	382.9030	0.38256	0.18515	1.05433	-100.31	63.34	-24.94	Уравнивание
1164	yellow_1018n_001	4971598.5504	5198180.6335	371.2107	0.42630	0.28104	1.58691	-92.94	74.07	-45.34	Уравнивание
1165	yellow_1018m_001	4971403.8531	5198256.4728	364.1488	0.35620	0.23252	1.30039	-118.71	71.48	-57.95	Уравнивание
1166	yellow_1018l_001	4971222.6114	5198326.9269	355.0446	0.28161	0.03595	1.08170	-932.65	294.77	-40.45	Уравнивание
1167	yellow_1018k_001	4971034.8031	5198398.5196	350.8545	0.22809	0.12729	0.97347	-221.84	71.65	-28.59	Уравнивание
1168	yellow_1018j_001	4970847.3041	5198470.1542	361.1517	0.00010	0.00010	1.48471	-1297861269.54	138315.25	-31982.49	Уравнивание
1169	yellow_1018i_001	4970721.8086	5198519.0349	361.6098	0.00010	0.00010	1.26627	-1000901718.85	123192.31	-58453.13	Уравнивание
1170_a	yellow_1018h_001	4970520.1336	5198595.5429	345.0087	0.00010	0.00010	0.71146	-288258690.11	78413.37	-56551.34	Уравнивание
1170_b	yellow_1018g_001	4970514.2039	5198596.1322	344.8917	0.00010	0.00010	0.85764	-460908533.96	90885.31	-65183.23	Уравнивание
1171	yellow_1018f_001	4970333.6742	5198577.8825	350.6741	0.00010	0.00010	1.54882	-1231223136.28	136339.24	45404.59	Уравнивание
1172	yellow_1018e_001	4970107.7524	5198555.3125	355.3871	Навигационный						
1173	yellow_1018d_001	4969844.6361	5198526.1693	356.7120	0.13745	0.00010	0.95195	-309480.64	86806.75	23.57	Уравнивание
1174	yellow_1018c_001	4969587.3054	5198498.3379	338.0338	0.00010	0.00010	1.09456	-765625856.23	95837.02	-6846.61	Уравнивание
1175	yellow_1018b_001	4969360.9957	5198475.9976	333.9913	0.00010	0.00010	1.84648	-2680443384.21	137810.09	-5346.86	Уравнивание
1176	yellow_1018a_001	4969088.9586	5198445.3596	342.4361	0.28737	0.00010	1.47158	-857647.42	151499.19	-87.15	Уравнивание
